username,repo_name,stars,repo_url
ohmyzsh,ohmyzsh,171000,https://github.com/ohmyzsh/ohmyzsh
junegunn,fzf,62000,https://github.com/junegunn/fzf
sherlock-project,sherlock,52600,https://github.com/sherlock-project/sherlock
jesseduffield,lazygit,48100,https://github.com/jesseduffield/lazygit
sharkdp,bat,47700,https://github.com/sharkdp/bat
BurntSushi,ripgrep,46200,https://github.com/BurntSushi/ripgrep
wagoodman,dive,44600,https://github.com/wagoodman/dive
n8n-io,n8n,42400,https://github.com/n8n-io/n8n
google,zx,42300,https://github.com/google/zx
chubin,cheat.sh,37800,https://github.com/chubin/cheat.sh
spf13,cobra,36800,https://github.com/spf13/cobra
cli,cli,36100,https://github.com/cli/cli
httpie,cli,32800,https://github.com/httpie/cli
sharkdp,fd,32600,https://github.com/sharkdp/fd
alebcay,awesome-shell,31900,https://github.com/alebcay/awesome-shell
ibraheemdev,modern-unix,30300,https://github.com/ibraheemdev/modern-unix
acheong08,ChatGPT,28000,https://github.com/acheong08/ChatGPT
tqdm,tqdm,27900,https://github.com/tqdm/tqdm
angular,angular-cli,26700,https://github.com/angular/angular-cli
google,python-fire,26600,https://github.com/google/python-fire
